"Date","Price","Open","High","Low","Change %"
"Sep 09, 2018","0.01431","0.01431","0.01431","0.01431","0.04%"
"Sep 07, 2018","0.01430","0.01440","0.01450","0.01430","-1.04%"
"Sep 06, 2018","0.01445","0.01475","0.01475","0.01445","-1.70%"
"Sep 05, 2018","0.01470","0.01470","0.01470","0.01460","0.00%"
"Sep 04, 2018","0.01470","0.01470","0.01470","0.01460","0.00%"
"Sep 03, 2018","0.01470","0.01480","0.01480","0.01470","-0.71%"
"Sep 02, 2018","0.01480","0.01480","0.01480","0.01480","0.00%"
"Aug 31, 2018","0.01480","0.01460","0.01490","0.01460","1.02%"
"Aug 30, 2018","0.01465","0.01475","0.01485","0.01465","-0.34%"
"Aug 29, 2018","0.01470","0.01470","0.01480","0.01460","0.00%"
"Aug 28, 2018","0.01470","0.01480","0.01490","0.01470","-0.68%"
"Aug 27, 2018","0.01480","0.01490","0.01490","0.01480","-0.71%"
"Aug 26, 2018","0.01491","0.01491","0.01491","0.01491","0.04%"
"Aug 24, 2018","0.01490","0.01460","0.01490","0.01460","1.36%"
"Aug 23, 2018","0.01470","0.01470","0.01480","0.01450","0.00%"
"Aug 22, 2018","0.01470","0.01490","0.01490","0.01460","-1.34%"
"Aug 21, 2018","0.01490","0.01490","0.01500","0.01480","0.00%"
"Aug 20, 2018","0.01490","0.01490","0.01490","0.01480","-0.10%"
"Aug 19, 2018","0.01492","0.01492","0.01492","0.01492","0.10%"
"Aug 17, 2018","0.01490","0.01500","0.01500","0.01480","-0.67%"
"Aug 16, 2018","0.01500","0.01490","0.01500","0.01480","0.67%"
"Aug 15, 2018","0.01490","0.01510","0.01510","0.01470","-1.32%"
"Aug 14, 2018","0.01510","0.01470","0.01510","0.01470","2.37%"
"Aug 13, 2018","0.01475","0.01485","0.01485","0.01445","-0.13%"
"Aug 12, 2018","0.01477","0.01477","0.01477","0.01477","-0.20%"
"Aug 10, 2018","0.01480","0.01500","0.01500","0.01470","-1.33%"
"Aug 09, 2018","0.01500","0.01520","0.01530","0.01500","-1.64%"
"Aug 08, 2018","0.01525","0.01575","0.01585","0.01525","-3.17%"
"Aug 07, 2018","0.01575","0.01575","0.01585","0.01575","0.32%"
